Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000937	0	5	6	11
OG0000938	0	8	3	11
OG0000939	0	2	9	11
OG0000940	0	2	9	11
OG0000941	0	1	10	11
OG0000942	0	2	9	11
OG0000943	0	3	8	11
OG0000944	0	7	4	11
OG0000945	0	1	10	11
OG0000946	0	2	9	11
OG0000947	0	1	10	11
OG0000948	0	1	10	11
OG0000949	0	2	9	11
OG0000950	0	1	10	11
OG0000951	0	1	10	11
OG0000952	0	3	8	11
OG0000953	0	2	9	11
OG0000954	0	2	9	11
OG0000955	0	1	10	11
OG0000956	0	1	10	11
OG0000957	0	0	11	11
OG0000958	0	0	11	11
OG0000959	0	0	11	11
OG0000960	0	0	11	11
OG0000961	0	0	11	11
OG0000962	0	0	11	11
OG0000963	0	0	11	11
OG0000964	0	0	11	11
OG0000965	0	0	11	11
OG0000966	0	0	11	11
OG0000967	0	0	11	11
OG0000968	0	0	11	11
OG0000969	0	0	11	11
